time,algo,attack,efficacite,cout,robustesse,redondance,disparite,criticite
39,none,none,0.6996520763187376,5074,1.0,15.374410774410775,0.561179404450997,0.0
39,KMeans,none,0.9381107491856677,690,1.0,1.771986970684039,0.2144856127157012,21.818181818181817
39,KMeans,none,0.9381107491856677,690,1.0,1.771986970684039,0.2144856127157012,21.818181818181817
40,none,none,0.7001571268237882,5068,1.0,14.844444444444445,0.5508289670540223,0.0
40,KMeans,none,0.8716085271317829,866,1.0,2.508720930232558,0.3937001294517634,29.09090909090909
40,KMeans,none,0.8716085271317829,866,1.0,2.508720930232558,0.3937001294517634,29.09090909090909
41,none,none,0.7000448933782212,5070,1.0,14.903703703703703,0.5447710695654835,0.0
41,KMeans,none,0.9338983050847458,668,1.0,1.8745762711864407,0.22639708776072412,36.36363636363637
41,KMeans,none,0.9338983050847458,668,1.0,1.8745762711864407,0.22639708776072412,36.36363636363637
42,none,none,0.700718294051622,5060,1.0,14.171717171717171,0.5448235125444738,0.0
42,KMeans,none,0.9111479028697572,714,1.0,1.7417218543046358,0.21557881773399015,36.36363636363637
42,KMeans,none,0.9111479028697572,714,1.0,1.7417218543046358,0.21557881773399015,36.36363636363637
43,none,none,0.7002693602693548,5064,1.0,14.167676767676769,0.5470598086458932,0.0
43,KMeans,none,0.9164193867457967,792,1.0,1.9762611275964392,0.22503447170113836,20.0
43,KMeans,none,0.9164193867457967,792,1.0,1.9762611275964392,0.22503447170113836,20.0
44,none,none,0.702289562289557,5048,1.0,14.802693602693603,0.5598435989697462,0.0
44,KMeans,none,0.9062801932367148,826,1.0,2.353623188405797,0.2537244961158005,14.545454545454545
44,KMeans,none,0.9062801932367148,826,1.0,2.353623188405797,0.2537244961158005,14.545454545454545
45,none,none,0.7045342312008926,5032,1.0,15.02962962962963,0.5545583629308326,0.0
45,KMeans,none,0.8816758747697978,902,1.0,3.5801104972375692,0.3307800258638565,32.72727272727273
45,KMeans,none,0.8816758747697978,902,1.0,3.5801104972375692,0.3307800258638565,32.72727272727273
46,none,none,0.7036363636363582,5040,1.0,14.90976430976431,0.5511749743726098,0.0
46,KMeans,none,0.8782407407407408,898,1.0,2.4472222222222224,0.3632019060076614,18.181818181818183
46,KMeans,none,0.8782407407407408,898,1.0,2.4472222222222224,0.3632019060076614,18.181818181818183
47,none,none,0.7027384960718241,5044,1.0,15.118518518518519,0.5563429728340142,0.0
47,KMeans,none,0.8931000971817297,842,0.9650145772594753,2.247813411078717,0.303702709153837,12.727272727272727
47,KMeans,none,0.8931000971817297,842,0.9650145772594753,2.247813411078717,0.303702709153837,12.727272727272727
48,none,none,0.7024017957351238,5046,1.0,15.07946127946128,0.5495862027995045,0.0
48,KMeans,none,0.912951167728238,744,1.0,2.2770700636942673,0.2694869614512472,21.818181818181817
48,KMeans,none,0.912951167728238,744,1.0,2.2770700636942673,0.2694869614512472,21.818181818181817
49,none,none,0.7020089786756402,5050,1.0,15.10976430976431,0.5498323234258852,0.0
49,KMeans,none,0.900212314225053,756,0.9777070063694268,1.9617834394904459,0.30065263019808475,12.727272727272727
49,KMeans,none,0.900212314225053,756,0.9777070063694268,1.9617834394904459,0.30065263019808475,12.727272727272727
50,none,none,0.7019528619528567,5046,1.0,14.775084175084174,0.5571038623699528,0.0
50,KMeans,none,0.9354838709677419,700,1.0,1.738709677419355,0.20300925925925925,23.636363636363637
50,KMeans,random,0.9394904458598726,352,1.0,1.4076433121019107,0.20666666666666667,22.5
51,none,none,0.7022863247863272,2678,1.0,9.439743589743589,0.49338229697191927,0.0
51,KMeans,none,0.95625,348,1.0,1.35625,0.15602240896358543,32.5
51,KMeans,none,0.95625,348,1.0,1.35625,0.15602240896358543,32.5
52,none,none,0.7029273504273529,2676,1.0,9.552564102564103,0.49393540435003985,0.0
52,KMeans,none,0.9434523809523809,374,1.0,1.5773809523809523,0.212379433432065,27.5
52,KMeans,none,0.9434523809523809,374,1.0,1.5773809523809523,0.212379433432065,27.5
53,none,none,0.7042094017094042,2672,1.0,9.815384615384616,0.494742859359814,0.0
53,KMeans,none,0.9466666666666667,332,1.0,1.28,0.17407407407407408,27.5
53,KMeans,none,0.9466666666666667,332,1.0,1.28,0.17407407407407408,27.5
54,none,none,0.6999786324786351,2712,1.0,11.483333333333333,0.50083833125154,0.0
54,KMeans,none,0.9211956521739131,426,1.0,1.6521739130434783,0.21363636363636362,15.0
54,KMeans,none,0.9211956521739131,426,1.0,1.6521739130434783,0.21363636363636362,15.0
55,none,none,0.6999786324786351,2712,1.0,11.483333333333333,0.4989314192720478,0.0
55,KMeans,none,0.9464285714285714,372,1.0,1.7261904761904763,0.20558157689305231,45.0
55,KMeans,none,0.9464285714285714,372,1.0,1.7261904761904763,0.20558157689305231,45.0
56,none,none,0.700833333333336,2708,1.0,11.602564102564102,0.49511848488204674,0.0
56,KMeans,none,0.9476744186046512,380,1.0,1.441860465116279,0.13916211293260475,32.5
56,KMeans,none,0.9476744186046512,380,1.0,1.441860465116279,0.13916211293260475,32.5
57,none,none,0.7027136752136779,2682,1.0,9.861538461538462,0.5060612875944088,0.0
57,KMeans,none,0.9274611398963729,446,1.0,1.6580310880829014,0.17693259121830548,12.5
57,KMeans,none,0.9274611398963729,446,1.0,1.6580310880829014,0.17693259121830548,12.5
58,none,none,0.699978632478635,2712,1.0,12.067948717948719,0.5090678946089273,0.0
58,KMeans,none,0.9362244897959183,442,1.0,1.75,0.20076232247284878,42.5
